430001-A714,List-Optional Pneumatic Module,430000-A960,Module-Reject Bin with check present,430001-A529; 430001-A530; 430001-A531; 430001-A532,Kit-Misc. Ele. Reject Bin 1; Kit-Misc. Ele. Reject Bin 2; Kit-Misc. Ele. Reject Bin 3; Kit-Misc. Ele. Reject Bin 4,-,-,430000-A556,Assy-Ground Master Panel,430001-A286,Assy-Module Precision Regulator Set,--- Vision Fixed Spec (Do Not Click) ---,,,430001-A490,430000-A748,PUH INTERFACE - RUBBER TIP,Assy-PUH Phoenix-v2.0,,430001-A490,--- PUH INTERFACE - RUBBER TIP (Do Not Click) ---,430001-A529; 430001-A530; 430001-A531; 430001-A532,Kit-Misc. Ele. Reject Bin 1; Kit-Misc. Ele. Reject Bin 2; Kit-Misc. Ele. Reject Bin 3; Kit-Misc. Ele. Reject Bin 4,-,-,,,,,,430000-A756,Position Check Vision 1,Vision Fixed Spec,,--- Vision Fixed Spec ---,
430001-A378,List-Optional Basic Tool Module,430000-A973,Module-Reject Bin,"430001-A529; 430001-A530; 430001-A531; 430001-A532",Kit-Misc. Ele. Reject Bin 1; Kit-Misc. Ele. Reject Bin 2; Kit-Misc. Ele. Reject Bin 3; Kit-Misc. Ele. Reject Bin 4,-,-,430000-A745,Assy-Structure Ionizer Tilt,430000-A137,Assy- Blow & Neutral Complete Valve,430000-A756,Position Check Vision 1 ,Vision Fixed Spec,430001-A490,430000-N997,PUH INTERFACE - RUBBER TIP,Nozzle-PUH-1.7x1.7,,430001-A490,430000-A748,"430001-A529; 430001-A530; 430001-A531; 430001-A532",Kit-Misc. Ele. Reject Bin 1; Kit-Misc. Ele. Reject Bin 2; Kit-Misc. Ele. Reject Bin 3; Kit-Misc. Ele. Reject Bin 4,-,-,,,,,,430000-A401,Module-3D BGA Pad Package Vision-B2K,Vision Fixed Spec,,,430000-A756
430001-A366,Assy-PX Vision PC Standard,430000-A965,Module-Mark Package Vision Body,-,-,430001-A689,List-Tooling Table 4 Pos,430001-A379,Assy-Portable Emergency Button,430001-A445,Assy-Individual Blowing Valve,430000-A401,Module-3D BGA Pad Package Vision-B2K,Vision Fixed Spec,430001-A490,430003-N121,PUH INTERFACE - RUBBER TIP,Nozzle-PUH-2.7x2.7,,430001-A490,430000-N997,-,-,430001-A689,List-Tooling Table 4 Pos,430001-A707,List-Jig Mark Package,"430001-A013; 430001-A275; 430001-A356",Module-Mark Package Vision-B2K; Module-Mark Package Vision-S2K; Module-Mark Package Vision-S4K,,430001-A016,Module-Waffle Position Check Mark Package Vision,Vision Fixed Spec,,,430000-A401
430001-A367,Assy-PX Vision PC Advance,430000-A959,Module-Dynamic Recentering-v1.0,430000-A989; 430001-A373,Kit-Misc. Ele. Dynamic Recentering V1-#1; Kit-Misc. Ele. Dynamic Recentering V1-#2,430001-A691,List-Tooling DRC V1.0,430000-A543,Assy-Hot Air Blower,,,430001-A016,Module-Waffle Position Check Mark Package Vision ,Vision Fixed Spec,430001-A490,430004-N944,PUH INTERFACE - RUBBER TIP,Nozzle-PUH-Dia. 1.5,,430001-A490,430003-N121,430000-A989; 430001-A373,Kit-Misc. Ele. Dynamic Recentering V1-#1; Kit-Misc. Ele. Dynamic Recentering V1-#2,430001-A691,List-Tooling DRC V1.0,,,,,,430001-A010,Module-In-Pocket Unit Seating Vision,Vision Fixed Spec,,,430001-A016
430000-A206,Assy-VCM Direct,430001-A229,Module-Direct Side Wall Vision Body,430001-A201; 430001-A239,Kit-Misc. Ele. Direct Side Wall 1; Kit-Misc. Ele. Direct Side Wall 2,430001-A690,List-Tooling Direct Side Wall,430000-A806,Assy-Manual XY DE,,,430001-A010,Module-In-Pocket Unit Seating Vision ,Vision Fixed Spec,430001-A380,2841-0019,SOFT TIP,"VACUUM CUP,W0.909 X L1.321,FITTING 1.6 X 1.6 X ID0.5,H3.3",,430001-A490,430004-N944,430001-A201; 430001-A239,Kit-Misc. Ele. Direct Side Wall 1; Kit-Misc. Ele. Direct Side Wall 2,430001-A690,List-Tooling Direct Side Wall,430001-A709,List-Jig Direct Side Wall,"430001-A459; 430001-A230; 430001-A102",Module-Direct Side Wall Vision-B2K; Module-Direct Side Wall Vision-S2K; Module-Direct Side Wall Vision-S4K,,430001-A011,Module-Tape Alignment Vision,Vision Fixed Spec,,,430001-A010
430000-A268,Assy-VCM Offset,430001-A276,Module-Rotary-V2.0,430001-A247; 430001-A257,Kit-Misc. Ele. Rotary Module 1; Kit-Misc. Ele. Rotary Module 2,-,-,430001-A361,Kit-Turret Support Column Servicing Holder,,,430001-A011,Module-Tape Alignment Vision ,Vision Fixed Spec,430001-A380,2841-0020,SOFT TIP,"VACUUM CUP,W1.02 X L1.02,FITTING 1.6 X 1.6 X ID0.5,H3.3",,430001-A380,--- SOFT TIP (Do Not Click) ---,430001-A247; 430001-A257,Kit-Misc. Ele. Rotary Module 1; Kit-Misc. Ele. Rotary Module 2,-,-,,,,,,430001-A012,Module-Tape Seal Vision,Vision Fixed Spec,,,430001-A011
,,430000-A966,Module-Waffle Tray,-,-,430001-A694,List-Tooling Waffle Tray,430000-A969,List-Configurable Module Spare Part,,,430001-A012,Module-Tape Seal Vision,Vision Fixed Spec,430001-A380,2841-0037,SOFT TIP,"VACUUM CUP,W2.032 X L2.032,FITTING 1.6 X 1.6 X ID1.0,H3.3",,430001-A380,2841-0019,-,-,430001-A694,List-Tooling Waffle Tray,430001-A710,List-Jig Waffle Tray,430001-A016,Module-Waffle Position Check Mark Package Vision ,,430000-A758,Module- Position Check Pad Package - B2K,Vision B2K,,,430001-A012
,,430001-A451,Module-Manual Reject Tray,-,-,430001-A696,List-Tooling Manual Reject Tray,430001-A106,Kit-Wafer XY Table Non-Flip Spacer,,,--- Vision B2K (Do Not Click) ---,,,430001-A380,2841-0021,SOFT TIP,"VACUUM CUP,W1.251 X L1.837,FITTING 1.6 X 1.6 X ID0.9,H3.3",,430001-A380,2841-0020,-,-,430001-A696,List-Tooling Manual Reject Tray,,,,,,430001-A013,Module-Mark Package Vision-B2K,Vision B2K,,--- Vision B2K ---,
,,430000-A961,Module-Taping-v2.0,-,-,430001-A704,List-Tooling Tape And Reel,430001-A418,List-Die Sorter Tooling,,,430000-A758,Module- Position Check Pad Package - B2K,Vision B2K,430001-A380,2841-0022,SOFT TIP,"VACUUM CUP,W1.3 X L1.3,FITTING 1.6 X 1.6 X ID1.0,H3.3",,430001-A380,2841-0037,-,-,430001-A704,List-Tooling Tape And Reel,,,"430001-A010; 430001-A011; 430001-A012; 430001-A009; 430001-A452; 430001-A357",Module-In-Pocket Unit Seating Vision; Module-Tape Alignment Vision; Module-Tape Seal Vision; Module-In-Pocket Mark Package Vision - B2K; Module-In-Pocket Mark Package Vision - S2K; Module-In-Pocket Mark Package Vision-S4K,,430001-A459,Module-Direct Side Wall Vision-B2K,Vision B2K,,,430000-A758
,,430001-A008,Module-Auto Reject Placement-v2.0,-,-,-,-,430001-A706,List-Jig Configurable Module,,,430001-A013,Module-Mark Package Vision-B2K ,Vision B2K,430001-A380,2841-0024,SOFT TIP,"VACUUM CUP,W4.78 X L5.77,FITTING 2.6 X 2.6 X ID1.5,H3.3",,430001-A380,2841-0021,-,-,-,-,,,,,,430001-A009,Module-In-Pocket Mark Package Vision - B2K,Vision B2K,,,430001-A013
,,430001-A014,Module-Auto Reject In Pocket-v2.0,-,-,-,-,,,,,430001-A459,Module-Direct Side Wall Vision-B2K,Vision B2K,430001-A380,2841-0023,SOFT TIP,"VACUUM CUP,W4.33 X L5.26,FITTING 1.6 X 1.6 X ID1.0,H3.3",,430001-A380,2841-0022,-,-,-,-,,,,,,430001-A390,Module-Position Check Pad Package v2.0-S2K,Vision S2K,,,430001-A459
